dt_sintoma,co_municipio,municipio,ocorrencias
1954-03-28,1100205,Porto Velho,0
1954-04-04,1100205,Porto Velho,0
1954-04-11,1100205,Porto Velho,0
1954-04-18,1100205,Porto Velho,0
1954-04-25,1100205,Porto Velho,0
1954-05-02,1100205,Porto Velho,0
1954-05-09,1100205,Porto Velho,0
1954-05-16,1100205,Porto Velho,0
1954-05-23,1100205,Porto Velho,0
1954-05-30,1100205,Porto Velho,0
1954-06-06,1100205,Porto Velho,0
1954-06-13,1100205,Porto Velho,0
1954-06-20,1100205,Porto Velho,0
1954-06-27,1100205,Porto Velho,0
1954-07-04,1100205,Porto Velho,0
1954-07-11,1100205,Porto Velho,0
1954-07-18,1100205,Porto Velho,0
1954-07-25,1100205,Porto Velho,0
1954-08-01,1100205,Porto Velho,0
